year	love	burn	baby	girl	boy	why	truck	happy	sad	
1990	13790	69	8718	3773	1006	1412	0	197	255	
1991	14018	72	7391	2492	891	2138	6	391	166	
1992	13009	93	10379	3209	615	2375	62	289	191	
1993	12799	87	9191	3663	1151	1869	43	383	299	
1994	10099	110	5835	2729	988	1888	48	423	221	
1995	12609	155	6447	3340	1286	2138	47	741	119	
1996	9757	190	6480	2012	1084	1894	53	596	357	
1997	10155	87	7208	2009	908	1847	30	565	353	
1998	9471	65	6555	2389	1020	1294	20	104	233	
1999	8833	154	6408	2445	874	1422	39	309	186	
2000	8898	333	8479	5003	803	2439	616	192	353	
2001	7230	348	6326	2692	1009	2404	132	249	71	
2002	8063	214	4999	3939	2288	1962	229	253	140	
2003	8965	138	4630	4261	2263	2124	158	303	107	
2004	8530	582	6075	5030	1217	2076	161	550	71	
2005	8068	147	6754	6665	910	1674	90	268	58	
2006	5855	238	4902	4087	1234	1861	100	199	335	
2007	6069	118	4313	3823	1888	1958	201	184	83	
2008	8689	273	4709	4810	1116	1656	185	213	231	
2009	8410	342	4824	5846	1322	1957	133	177	129	
2010	8162	244	6716	4614	2003	1290	257	225	114	
2011	8424	195	7590	5675	1503	1288	265	239	93	
2012	6835	633	6110	3489	728	1425	501	134	0	
2013	6476	1496	5072	3472	834	826	355	162	7	
2014	925	1716	707	371	72	88	3	33	0	
2015	152	0	24	38	0	38	0	3	0	
