"","date","song_id","name","artist","year","lyrics","freq","vocab"
"1","2012-08-18",25606,"Radioactive","Imagine Dragons",2012,"I'm waking up to ash and dust
I wipe my brow and I sweat my rust
I'm breathing in the chemicals

I'm breaking in, and shaping up
Then checking out on the prison bus
This is it, the apocalypse, whoa

I'm waking up, I feel it in my bones
Enough to make my systems blow
Welcome to the new age, to the new age
Welcome to the new age, to the new age

Whoa, whoa, I'm radioactive, radioactive

Whoa, whoa, I'm radioactive, radioactive

I raise my flag, dye my clothes
It's a revolution I suppose
We're painted red
 To fit right in, whoa

I'm breaking in, and shaping up
Then checking out on the prison bus
This is it, the apocalypse, whoa

I'm waking up, I feel it in my bones
Enough to make my systems blow
Welcome to the new age, to the new age
Welcome to the new age, to the new age

Whoa, whoa, I'm radioactive, radioactive

Whoa, whoa, I'm radioactive, radioactive

All systems go,
 the sun hasn't died
Deep in my bones,
 Straight from inside

I'm waking up, I feel it in my bones
Enough to make my systems blow
Welcome to the new age, to the new age
Welcome to the new age, to the new age

Whoa, whoa, I'm radioactive, radioactive

Whoa, whoa, I'm radioactive, radioactive",87,62
"2","2011-09-03",25214,"Sail","AWOLNATION",2011,"Sail!

This is how I show my love
I made it in my mind because
I blame it on my A.D.D. baby

This is how an angel dies
I blame it on my own sick pride
Blame it on my A.D.D. baby

Sail!
Sail!
Sail!
Sail!
Sail!

Maybe I should cry for help
Maybe I should kill my myself (myself)
Blame it on my A.D.D. baby

Maybe I'm a different breed
Maybe I'm not listening
So blame it on my A.D.D. baby

Sail!
Sail!
Sail!
Sail!
Sail!

Lalalalala
Lalalalala

Lalalalala
Lalalalala

Sail!
Sail!
Sail!
Sail!
Sail!

Sail with me into the dark
Sail!
Sail with me into the dark
Sail!
Sail with me into the dark
Sail!
Sail with me into the dark
Sail!",79,43
"3","2008-05-03",23693,"I'm Yours","Jason Mraz",2008,"Well you dawned on me and you bet I felt it
I tried to be chill but you're so hot that I melted
I fell right through the cracks
and now I'm trying to get back
Before the cool done run out
I'll be giving it my bestest
Nothing's going to stop me but divine intervention
I reckon its again my turn to win some or learn some

I won't hesitate no more, no more
It cannot wait, I'm yours

Well open up your mind and see like me
Open up your plans and damn you're free
Look into your heart and you'll find love love love
Listen to the music of the moment people dance and sing,
we're just one big family.
It's your God-forsaken right to be loved love loved love love

So I won't hesitate no more, no more
It cannot wait I'm sure
There's no need to complicate
Our time is short
This is our fate, I'm yours

Do you want to, come on, scootch over closer dear
And I will nibble your ear

I've been spending way too long checking my tongue in the mirror
And bending over backwards just to try to see it clearer
But my breath fogged up the glass
And so I drew a new face and I laughed
I guess what I'm saying is there ain't no better reason
To rid yourself of vanity and just go with the seasons
It's what we aim to do
Our name is our virtue

I won't hesitate no more, no more
It cannot wait I'm sure
There's no need to complicate
Our time is short
This is our fate, I'm yours

Well open up your mind and see like me
Open up your plans and damn you're free
Look into your heart and you'll find the sky is yours
Listen to the music of the moment come and dance with me
ah, la one big family ([2nd time:] ah, la happy family)
It's your God-forsaken right to be loved love love love

I won't hesitate no more
Oh no more no more no more
It's your God-forsaken right to be loved, I'm sure
Theres no need to complicate
Our time is short
This is our fate, I'm yours

No I won't hesitate no more, no more
This cannot wait I'm sure
There's no need to complicate
Our time is short
This is our fate, I'm yours, I'm yours",76,153
"4","2011-02-12",24922,"Party Rock Anthem","LMFAO Featuring Lauren Bennett & GoonRock",2011,"Party rock! Yeah! Whoo! Let's go!

Party rock is in the house tonight
Everybody just have a good time (yeah)
And we gon' make you lose your mind (whoo!)
Everybody just have a good time (clap)

Party rock is in the house tonight (oh)
Everybody just have a good time (and the feeling's alright)
And we gon' make you lose your mind (yeah)
We just wanna see ya shake dat!

In the club, party rock
Lookin' for ya girl, she on my jock, huh
Non-stop when we in the spot
Booty movin' way like she own the block, whoo

Where the drink? I gots to know
Tight jeans, tattoo, 'cause I'm rock 'n' roll
Half-black half-white domino
Gain the money - Op-e-doe

Yo, I'm runnin' through these hoes like Drano
I got that devilish flow, rock 'n' roll, no halo
We party rock! Yeah, that's the crew that I'm reppin'
On the rise to the top, no ""Led"" in our ""Zeppelin"", hey

Party rock is in the house tonight (whoo)
Everybody just have a good time (yeah)
And we gon' make you lose your mind
Everybody just have a good time (let's go)

Party rock is in the house tonight
Everybody just have a good time (and we feelin' right)
And we gon' make you lose your mind
We just wanna see ya shake dat!

Everyday I'm shufflin'
Shufflin', shufflin'

Step up fast
And be the first girl to make me throw this cash
We gettin' money, don't be mad
And now stop - ...hatin' is bad

One more shot for us, another round
Please fill up my cup, don't mess around
We just wanna see you shake it now
Now you're home with me, you're naked now

Get up, get down, put your hands up to the sound
Get up, get down, put your hands up to the sound
Get up, get down, put your hands up to the sound (whoo)
Put your hands up to the sound
Put your hands up to the sound (let's go)

Get up, get up, get up, get up
Get up, get up, get up, get up (yeah)

Get up, put your hands up to the sound
To the sound (whoo!)
Put your hands up, put your hands up
Put your hands up, put your hands up

Party rock is in the house tonight (put your hands up) (whoo)
Everybody just have a good time (put your hands up)
And we gon' make you lose your mind
Everybody just have a good-good-good time

Oh (put your hands up)
Oh (I can feel it man)
Oh (put your hands up)
Oh (put your hands up)

Shake dat!
Everyday I'm shuff-fuf-fullin'
Put your, put your
Put your, put your (yeah!)
Put your, put your (whoo)

Put your, put your
..your hands up
..your hands up
Put your hands up
Every day I'm shufflin'",68,141
"5","2013-07-06",25911,"Counting Stars","OneRepublic",2013,"Lately, I've been, I've been losing sleep
Dreaming about the things that we could be
But baby, I've been, I've been praying hard
Said, no more counting dollars
We'll be counting stars
Yeah we'll be counting stars

I see this life like a swinging vine
Swing my heart across the line
And my face is flashing signs
Seek it out and you shall find
Old, but I'm not that old
Young, but I'm not that bold
I don't think the world is sold
I'm just doing what we're told

I feel something so right
Doing the wrong thing
I feel something so wrong
Doing the right thing
I couldn't lie, couldn't lie, couldn't lie
Everything that kills me makes me feel alive

Lately, I've been, I've been losing sleep
Dreaming about the things that we could be
But baby, I've been, I've been praying hard
Said, no more counting dollars
We'll be counting stars

Lately, I've been, I've been losing sleep
Dreaming about the things that we could be
But baby, I've been, I've been praying hard
Sitting, no more counting dollars
We'll be, we'll be counting stars

I feel the love and I feel it burn
Down this river, every turn
Hope is a four-letter word
Make that money, watch it burn
Old, but I'm not that old
Young, but I'm not that bold
I don't think the world is sold
I'm just doing what we're told

I feel something so wrong
Doing the right thing
I couldn't lie, couldn't lie, couldn't lie
Everything that downs me makes me wanna fly

Lately, I've been, I've been losing sleep
Dreaming about the things that we could be
But baby, I've been, I've been praying hard
Said, no more counting dollars
We'll be counting stars

Lately, I've been, I've been losing sleep
Dreaming about the things that we could be
But baby, I've been, I've been praying hard
Said, no more counting dollars
We'll be, we'll be counting stars

Take that money
Watch it burn
Sink in the river
The lessons are learned

Take that money
Watch it burn
Sink in the river
The lessons are learned

Take that money
Watch it burn
Sink in the river
The lessons are learned

Take that money
Watch it burn
Sink in the river
The lessons are learned

Everything that kills me
Makes me feel alive

Lately, I've been, I've been losing sleep
Dreaming about the things that we could be
But baby, I've been, I've been praying hard
Said, no more counting dollars
We'll be counting stars

Lately, I've been, I've been losing sleep
Dreaming about the things that we could be
But baby, I've been, I've been praying hard
Said, no more counting dollars
We'll be, we'll be counting stars

Take that money
Watch it burn
Sink in the river
The lessons are learned

Take that money
Watch it burn
Sink in the river
The lessons are learned

Take that money
Watch it burn
Sink in the river
The lessons are learned

Take that money
Watch it burn
Sink in the river
The lessons are learned",68,98
"6","1997-06-21",19966,"How Do I Live","LeAnn Rimes",1997,"How do I get through a night without you
If I had to live without you
What kind of life would that be
For a while, I need you in my arms
Need you to hold
You're my world, my heart, my soul
If you ever leave
Baby you would take away everything good in my life

And tell me now
How do I live without you
I want to know
How do I breathe without you
If you ever go
How do I ever, ever survive
How do I
How do I
Oh, how do I live

Without you, there would be no sun in my sky
There would be no love in my life
There would be no world left for me
And I, oh Baby, I don't know what I would do
I'd be lost if I lost you
If you ever leave
Baby, you would take away everything real in my life

And tell me now
How do I live without you
I want to know
How do I breathe without you
If you ever go
How do I ever, ever survive
How do I
How do I
Oh, how do I live
Please tell me baby...

If you ever leave
Baby, you would take away everything
Need you with me
Baby, don't  you know that you're everything good in my life

And tell me now
How do I live without you
I want to know
How do I breathe without you
If you ever go
How do I ever, ever survive
How do I
How do I
Oh, how do I live",65,60
"7","2010-12-25",24887,"Rolling In The Deep","Adele",2010,"There's a fire starting in my heart
Reaching a fever pitch, it's bringing me out the dark
Finally I can see you crystal clear
Go ahead and sell me out and I'll lay your ship bare

See how I leave with every piece of you
Don't underestimate the things that I will do
There's a fire starting in my heart
Reaching a fever pitch
And it's bringing me out the dark

The scars of your love remind me of us
They keep me thinking that we almost had it all
The scars of your love they leave me breathless
I can't help feeling

We could've had it all
Rolling in the deep
You had my heart inside of your hand
And you played it
To the beat

Baby I have no story to be told
But I've heard one of you
And I'm gonna make your head burn
Think of me in the depths of your despair
Making a home down there
As mine sure won't be shared

The scars of your love remind me of us
They keep me thinking that we almost had it all
The scars of your love they leave me breathless
I can't help feeling

We could've had it all
Rolling in the deep
You had my heart inside of your hand
And you played it
To the beat

Could've had it all
Rolling in the deep
You had my heart inside of your hand
But you played it
With the beating

Throw your soul through every open door
Count your blessings to find what you look for
Turned my sorrow into treasured gold
You pay me back in kind 
And reap just what you sow
We could've had it all
We could've had it all
It all, it all it all,

We could've had it all
Rolling in the deep
You had my heart inside of your hand
And you played it
To the beat

Could've had it all
Rolling in the deep
You had my heart inside of your hand
  But you played it,you played it, you played it
You played it to the beat",65,120
"8","2006-09-16",23092,"Before He Cheats","Carrie Underwood",2006,"Right now, he's probably slow dancing
With a bleached-blond tramp
And she's probably getting frisky
Right now, he's probably buying her
Some fruity little drink
'Cause she can't shoot whiskey
Right now, he's probably up behind her
With a pool stick
Showing her how to shoot a combo
And he don't know

That I dug my key into the side
Of his pretty little souped-up four-wheel drive
Carved my name into his leather seats
I took a Louisville slugger to both headlights
Slashed a hole in all four tires
Maybe next time he'll think before he cheats

Right now, she's probably up singing some
White-trash version of Shania karaoke
Right now, she's probably saying, ""I'm drunk""
And he's a-thinking that he's gonna get lucky
Right now, he's probably dabbing on
3 dollars worth of that bathroom Polo
Oh, and he don't know

That I dug my key into the side
Of his pretty little souped-up four-wheel drive
Carved my name into his leather seats
I took a Louisville slugger to both headlights
Slashed a hole in all four tires
Maybe next time he'll think before he cheats

I might've saved a little trouble for the next girl
'Cause the next time that he cheats
Oh, you know it won't be on me!
No... not on me

'Cause I dug my key into the side
Of his pretty little souped-up four-wheel drive
Carved my name into his leather seats
I took a Louisville slugger to both headlights
Slashed a hole in all four tires
Maybe next time he'll think before he cheats
Oh, maybe next time he'll think before he cheats
Oh, before he cheats
Oh, oh",64,104
"9","2005-02-12",22531,"You And Me","Lifehouse",2005,"What day is it? And in what month?
This clock never seemed so alive
I can't keep up and I can't back down
I've been losing so much time

'Cause it's you and me and all of the people with nothing to do
Nothing to lose
And it's you and me and all of the people
And I don't know why, I can't keep my eyes off of you

All of the things that I want to say just aren't coming out right
I'm tripping on words
You've got my head spinning 
I don't know where to go from here

'Cause it's you and me and all of the people with nothing to do
Nothing to prove
And it's you and me and all of the people
And I don't know why, I can't keep my eyes off of you

There's something about you now
I can't quite figure out
Everything she does is beautiful
Everything she does is right

'Cause it's you and me and all of the people with nothing to do
Nothing to lose
And it's you and me and all of the people
And I don't know why, I can't keep my eyes off of you
And me and all of the people with nothing to do
Nothing to prove
And it's you and me and all of the people
And I don't know why, I can't keep my eyes off of you

What day is it? And in what month?
This clock never seemed so alive",62,75
"10","2012-06-23",25558,"Ho Hey","The Lumineers",2012,"(Ho!)
(Hey!)
(Ho!)
(Hey!)

(Ho!) I've been trying to do it right
(Hey!) I've been living a lonely life
(Ho!) I've been sleeping here instead
(Hey!) I've been sleeping in my bed
(Ho!) Been sleeping in my bed
(Hey!)
(Ho!)

(Ho!) So show me family
(Hey!) All the blood that I would bleed
(Ho!) I don't know where I belong
(Hey!) I don't know where I went wrong
(Ho!) But I can write a song
(Hey!)

(One, two, three)
I belong with you, you belong with me, you're my sweetheart
I belong with you, you belong with me, you're my sweet

(Ho!)
(Hey!)
(Ho!)
(Hey!)

(Ho!) I don't think you're right for him
(Hey!) Look at what it might have been if you
(Ho!) Took a bus to Chinatown
(Hey!) I'd be standing on Canal
(Ho!) And Bowery
(Hey!)
(Ho!) And she'd be standing next to me
(Hey!)

(One, two, three)
I belong with you, you belong with me, you're my sweetheart
I belong with you, you belong with me, you're my sweetheart

Love, we need it now
Let's hope for some
'Cause oh, we're bleeding out

I belong with you, you belong with me, you're my sweetheart
I belong with you, you belong with me, you're my sweet

(Ho!)
(Hey!)
(Ho!)
(Last one...)
(Hey!)",62,82
"11","1996-11-30",19755,"Foolish Games/You Were Meant For Me","Jewel",1996,"I hear the clock, it's six a.m. 
I feel so far from where I've been 
Got my eggs and my pancakes too 
Got my maple syrup, everything but you

Break the yolks, make a smiley face 
I kinda like it in my brand new place 
I wipe the spots off of the mirror 
Don't leave the keys in the door 
Never put wet towels on the floor anymore 
'cause




Dreams last for so long 
Even after you're gone 
I know you love me 
And soon you will see 
You were meant for me 
And I was meant for you


Called my momma, she was out for a walk 
Consoled a cup of coffee but it didn't wanna talk 
Picked up a paper, it was more bad news 
More hearts being broken or people being used


Put on my coat in the pouring rain 
Saw a movie it just wasn't the same 
'Cause it was happy and I was sad 
It made me miss you oh so bad
'cause


Dreams last for so long 
Even after you're gone 
I know you love me 
And soon you will see 
You were meant for me 
And I was meant for you


Go about my business, I'm doing fine 
Besides, what would I say if I had you on the line 
Same old story, not much to say 
Hearts are broken every day


Brush my teeth and put the cap back on
I know you hate it when I leave the light on
I pick a book up 
And than turn the sheets down 
Take a deep breath and a good look around


Put on my pj's and hop into bed 
I'm half alive but I feel mostly dead
I try and tell myself it'll be all right 
I just shouldn't think anymore tonight


Dreams last for so long 
Even after you're gone 
I know you love me 
And soon I know you will see 
You were meant for me 
And I was meant for you",61,167
"12","2013-01-26",25762,"Demons","Imagine Dragons",2013,"When the days are cold
And the cards all fold
And the saints we see
Are all made of gold

When your dreams all fail
And the ones we hail
Are the worst of all
And the blood's run stale

I wanna hide the truth
I wannna shelter you
But with the beast inside
There's nowhere we can hide

No matter what we breed
We still are made of greed
This is my kingdom come
This is my kingdom come

When you feel my heat
Look into my eyes
It's where my demons hide
It's where my demons hide
Don't get too close
It's dark inside
It's where my demons hide
It's where my demons hide

(When the) curtain's call
Is the last of all
When the lights fade out
All the sinners crawl

So they dug your grave
And the masquerade
Will come calling out
At the mess you made

Don't wanna let you down
But I am hell bound
Though this is all for you
Don't wanna hide the truth

No matter what we breed
We still are made of greed
This is my kingdom come
This is my kingdom come

When you feel my heat
Look into my eyes
It's where my demons hide
It's where my demons hide
Don't get too close
It's dark inside
It's where my demons hide
It's where my demons hide

They say it's what you make
I say it's up to fate
It's woven in my soul
I need to let you go
Your eyes, they shine so bright
I want to save their light
I can't escape this now
Unless you show me how

When you feel my heat
Look into my eyes
It's where my demons hide
It's where my demons hide
Don't get too close
It's dark inside
It's where my demons hide
It's where my demons hide",61,109
"13","1995-09-02",19364,"Macarena (Bayside Boys Mix)","Los Del Rio",1995,"Dale a tu cuerpo alegria Macarena
Que tu cuerpo es pa' darle alegria y cosas buenas
Dale a tu cuerpo alegria, Macarena
Hey Macarena

Macarena tiene un novio que se llama
Que se llama de apellido Vitorino,
Que en la jura de bandera el muchacho
Se metio con dos amigos

Macarena tiene un novio que se llama
Que se llama de apellido Vitorino,
Y en la jura de bandera el muchacho
Se metio con dos amigos

Dale a tu cuerpo alegria Macarena
Que tu cuerpo es pa' darle alegria y cosas buenas
Dale a tu cuerpo alegria, Macarena
Hey Macarena

Macarena, Macarena, Macarena
Que le gustan los veranos de Marbella
Macarena, Macarena, Macarena
Que le gusta la movida guerrillera

Macarena sue<U+00F1>a con El Corte Ingles
Que se compra los modelos mas modernos
Le gustaria vivir en Nueva York
Y ligar un novio nuevo

Macarena sue<U+00F1>a con El Corte Ingles
Que se compra los modelos mas modernos
Le gustaria vivir en Nueva York
Y ligar un novio nuevo",60,53
"14","2009-08-29",24251,"Need You Now","Lady Antebellum",2009,"Picture perfect memories,
Scattered all around the floor
Reaching for the phone 'cause,
I can't fight it anymore
And I wonder if I ever cross your mind
For me it happens all the time

It's a quarter after one,
I'm all alone and I need you now
Said I wouldn't call
but I lost all control and I need you now
And I don't know how I can do without,
I just need you now

Another shot of whiskey,
can't stop looking at the door
Wishing you'd come sweeping
in the way you did before
And I wonder if I ever cross your mind
For me it happens all the time

It's a quarter after one,
I'm a little drunk,
And I need you now
Said I wouldn't call
but I lost all control and I need you now
And I don't know how I can do without,
I just need you now

oh ohhh...

Guess I'd rather hurt than feel nothing at all
It's a quarter after one,
I'm all alone and I need you now
And I said I wouldn't call
but I'm a little drunk and I need you now
And I don't know how I can do without,
I just need you now
I just need you now
Oh baby I need you now...",60,78
"15","2012-01-21",25390,"Somebody That I Used To Know","Gotye Featuring Kimbra",2012,"Now and then I think of when we were together
Like when you said you felt so happy you could die
Told myself that you were right for me
But felt so lonely in your company
But that was love and it's an ache I still remember

You can get addicted to a certain kind of sadness
Like resignation to the end, always the end
So when we found that we could not make sense
Well you said that we would still be friends
But I'll admit that I was glad that it was over

But you didn't have to cut me off
Make out like it never happened
And that we were nothing
And I don't even need your love
But you treat me like a stranger
And that feels so rough

No, you didn't have to stoop so low
Have your friends collect your records
And then change your number
I guess that I don't need that though
Now you're just somebody that I used to know

Now you're just somebody that I used to know
Now you're just somebody that I used to know

Now and then I think of all the times you screwed me over
But had me believing it was always something that I'd done

But I don't wanna live that way
Reading into every word you say
You said that you could let it go
And I wouldn't catch you hung up
On somebody that you used to know...

But you didn't have to cut me off
Make out like it never happened
And that we were nothing
And I don't even need your love
But you treat me like a stranger
And that feels so rough

No, you didn't have to stoop so low
Have your friends collect your records
And then change your number
I guess that I don't need that though
Now you're just somebody that I used to know

Somebody...
I used to know
Somebody...
(Now you're just somebody that I used to know)
Somebody...
I used to know
Somebody...
(Now you're just somebody that I used to know)

I used to know
That I used to know
I used to know
Somebody",59,113
"16","2013-09-21",26001,"All Of Me","John Legend",2013,"What would I do without your smart mouth
Drawing me in and you kicking me out
Got my head spinning, no kidding
I can't pin you down
What's going on in that beautiful mind
I'm on your magical mystery ride
And I'm so dizzy, don't know what hit me
But I'll be alright

My head's under water
But I'm breathing fine
You're crazy and I'm out of my mind

'Cause all of me
Loves all of you
Love your curves and all your edges
All your perfect imperfections
Give your all to me
I'll give my all to you
You're my end and my beginning
Even when I lose I'm winning
'Cause I give you all of me
And you give me all of you oh

How many times do I have to tell you
Even when you're crying you're beautiful too
The world is beating you down
I'm around through every mood
You're my downfall, you're my muse
My worst distraction, my rhythm and blues
I can't stop singing
It's ringing, in my head for you

My head's under water
But I'm breathing fine
You're crazy and I'm out of my mind

'Cause all of me
Loves all of you
Love your curves and all your edges
All your perfect imperfections
Give your all to me
I'll give my all to you
You're my end and my beginning
Even when I lose I'm winning
'Cause I give you all of me
And you give me all of you
Give me all of you

Cards on the table, we're both showing hearts
Risking it all, though it's hard

'Cause all of me
Loves all of you
Love your curves and all your edges
All your perfect imperfections
Give your all to me
I'll give my all to you
You're my end and my beginning
Even when I lose I'm winning
'Cause I give you all of me
And you give me all of you

I give you all of me
And you give me all of you oh",59,104
"17","1999-07-31",20777,"Smooth","Santana Featuring Rob Thomas",1999,"Man, it's a hot one
Like seven inches from the midday sun
Well, I hear you whispering and the words melt everyone
But you stay so cool
My mu&#xF1;equita, my Spanish Harlem Mona Lisa
You're my reason for reason
The step in my groove, yeah

And if you said this life ain't good enough
I would give my world to lift you up
I could change my life to better suit your mood, yeah
'Cause you're so smooth

Well, and it's just like the ocean under the moon
Well, it's the same as the emotion that I get from you
You got the kind of lovin' that can be so smooth, yeah
Give me your heart, make it real
Or else forget about it

Well, I'll tell you one thing
If you would leave, it'd be a crying shame
In every breath and every word 
I hear your name calling me out, yeah
Out from the barrio, you hear my rhythm on your radio
You feel the turning of the world so soft and slow
Turning you 'round and 'round

And if you said this life ain't good enough
I would give my world to lift you up
I could change my life to better suit your mood, yeah
'Cause you're so smooth

Well, and it's just like the ocean under the moon
Well, it's the same as the emotion that I get from you
You got the kind of lovin' that can be so smooth, yeah
Give me your heart, make it real
Or else forget about it
Yeah

Well, and it's just like the ocean under the moon
Well, it's the same as the emotion that I get from you
You got the kind of lovin' that can be so smooth, yeah
Give me your heart, make it real
Or else forget about it, yeah

Or else forget about it
Oh, or else forget about it
Oh, let's don't forget about it
Give me your heart, make it real
Oh, let's don't forget about it, yeah
Let's don't forget about it, yeah, oh no
Oh, let's don't forget about it, oh no, no
Oh, let's don't forget about it, yeah, oh no
Oh, let's don't forget about it
Yeah, yeah",58,109
"18","2006-04-15",22931,"How To Save A Life","The Fray",2006,"Step one you say we need to talk
He walks you say sit down it's just a talk
He smiles politely back at you
You stare politely right on through
Some sort of window to your right
As she goes left and you stay right
Between the lines of fear and blame
And you begin to wonder why you came

Where did I go wrong, I lost a friend
Somewhere along in the bitterness
And I would have stayed up with you all night
Had I known how to save a life

Let him know that you know best
Cause after all you do know best
Try to slip past his defense
Without granting innocence
Lay down a list of what is wrong
The things you've told him all along
And pray to God he hears you
And pray to God he hears you

Where did I go wrong, I lost a friend
Somewhere along in the bitterness
And I would have stayed up with you all night
Had I known how to save a life

As he begins to raise his voice
You lower yours and grant him one last choice
Drive until you lose the road
Or break with the ones you've followed
He will do one of two things 
He will admit to everything
Or he'll say he's just not the same
And you'll begin to wonder why you came

Where did I go wrong, I lost a friend
Somewhere along in the bitterness
And I would have stayed up with you all night
Had I known how to save a life

Where did I go wrong, I lost a friend
Somewhere along in the bitterness
And I would have stayed up with you all night
Had I known how to save a life

How to save a life (2x)

Where did I go wrong, I lost a friend
Somewhere along in the bitterness
And I would have stayed up with you all night
Had I known how to save a life

Where did I go wrong, I lost a friend
Somewhere along in the bitterness
And I would have stayed up with you all night
Had I known how to save a life

How to save a life",58,118
"19","2014-10-25",26424,"Thinking Out Loud","Ed Sheeran",2014,"When your legs don't work like they used to before
And I can't sweep you off of your feet
Will your mouth still remember the taste of my love
Will your eyes still smile from your cheeks

Darlin' I will be lovin' you
Till we're seventy
Baby my heart could still fall as hard
At twenty three

I'm thinkin' bout how
People fall in love in mysterious ways
Maybe just the touch of a hand
Me, I fall in love with you every single day
I just wanna tell you I am

So honey now
Take me into your lovin' arms
Kiss me under the light of a thousand stars
Place your head on my beating heart
I'm thinking out loud
Maybe we found love right where we are

When my hair's all but gone and my memory fades
And the crowds don't remember my name
When my hands don't play the strings the same way (mm)
I know you will still love me the same

Cause honey your soul
Could never grow old
It's evergreen
Baby your smile's forever in my mind and memory

I'm thinkin' bout how
People fall in love in mysterious ways
Maybe it's all part of a plan
I'll just keep on making the same mistakes
Hoping that you'll understand

That baby now (ooh)
Take me into your loving arms
Kiss me under the light of a thousand stars
Place your head on my beating heart
I'm thinking out loud
Maybe we found love right where we are

Baby now
Take me into your loving arms
Kiss me under the light of a thousand stars (oh darlin')
Place your head on my beating heart
I'm thinking out loud

Maybe we found love right where we are
Maybe we found love right where we are
And we found love right where we are",58,127
"20","1999-09-11",20813,"Higher","Creed",1999,"When dreaming I'm guided through another world
Time and time again
At sunrise I fight to stay asleep
'cause I don't want to leave the comfort of this place
'cause there's a hunger, a longing to escape
From the life I live when I'm awake

So let's go there
Let's make our escape
Come on, let's go there
Let's ask can we stay

Can you take me higher?
To a place where blind men see
Can you take me higher?
To a place with golden streets

Although I would like our world to change
It helps me to appreciate
Those nights and those dreams
But, my friend, I'd sacrifice all those nights
If I could make the earth and my dreams the same
The only difference is
To let love replace all our hate

So let's go there
Let's make our escape
C'mon let's go there
Let's ask can we stay

Can you take me higher?
To a place where blind men see
Can you take me higher?
To a place with golden streets

So let's go there
Let's go there
C'mon let's go there
Let's ask can we stay

Up high I feel like I'm alive for the very first time
Still up high I'm strong enough 
To take these dreams and make them mine (x2)

Can you take me higher?
To a place where blind men see
Can you take me higher?
To a place with golden streets",57,99
