"date","year","name","artist","freq","vocab"
2012-08-18,2012,"Radioactive","Imagine Dragons",87,62
2011-09-03,2011,"Sail","AWOLNATION",79,43
2008-05-03,2008,"I'm Yours","Jason Mraz",76,153
2011-02-12,2011,"Party Rock Anthem","LMFAO Featuring Lauren Bennett & GoonRock",68,141
2013-07-06,2013,"Counting Stars","OneRepublic",68,98
1997-06-21,1997,"How Do I Live","LeAnn Rimes",65,60
2010-12-25,2010,"Rolling In The Deep","Adele",65,120
2006-09-16,2006,"Before He Cheats","Carrie Underwood",64,104
2005-02-12,2005,"You And Me","Lifehouse",62,75
2012-06-23,2012,"Ho Hey","The Lumineers",62,82
1996-11-30,1996,"Foolish Games/You Were Meant For Me","Jewel",61,167
2013-01-26,2013,"Demons","Imagine Dragons",61,109
1995-09-02,1995,"Macarena (Bayside Boys Mix)","Los Del Rio",60,53
2009-08-29,2009,"Need You Now","Lady Antebellum",60,78
2012-01-21,2012,"Somebody That I Used To Know","Gotye Featuring Kimbra",59,113
2013-09-21,2013,"All Of Me","John Legend",59,104
1999-07-31,1999,"Smooth","Santana Featuring Rob Thomas",58,109
2006-04-15,2006,"How To Save A Life","The Fray",58,118
2014-10-25,2014,"Thinking Out Loud","Ed Sheeran",58,127
1999-09-11,1999,"Higher","Creed",57,99
2008-10-11,2008,"Use Somebody","Kings Of Leon",57,61
2011-08-20,2011,"Lights","Ellie Goulding",57,81
2013-10-05,2013,"Dark Horse","Katy Perry Featuring Juicy J",57,172
2000-03-11,2000,"The Way You Love Me","Faith Hill",56,63
2009-06-27,2009,"I Gotta Feeling","The Black Eyed Peas",56,115
2012-03-10,2012,"Some Nights","fun.",56,179
1995-08-12,1995,"Missing","Everything But The Girl",55,90
1999-06-05,1999,"Amazed","Lonestar",55,88
2014-11-29,2014,"Uptown Funk!","Mark Ronson Featuring Bruno Mars",55,139
2001-02-10,2001,"Hanging By A Moment","Lifehouse",54,74
2003-03-22,2003,"Unwell","matchbox twenty",54,107
2009-10-17,2009,"Hey, Soul Sister","Train",54,111
2012-09-01,2012,"Cruise","Florida Georgia Line",54,134
2014-04-19,2014,"Stay With Me","Sam Smith",54,66
1996-11-30,1996,"Barely Breathing","Duncan Sheik",53,139
1998-02-14,1998,"Too Close","Next",53,104
1999-11-06,1999,"Breathe","Faith Hill",53,95
2000-04-08,2000,"Kryptonite","3 Doors Down",53,98
2001-03-17,2001,"Drops Of Jupiter (Tell Me)","Train",53,155
2010-07-24,2010,"If I Die Young","The Band Perry",53,157
2013-07-13,2013,"Wake Me Up!","Avicii",53,88
2013-08-31,2013,"Pompeii","Bastille",53,80
2014-11-29,2014,"Shut Up And Dance","WALK THE MOON",52,81
2003-08-30,2003,"Here Without You","3 Doors Down",51,93
2006-02-18,2006,"What Hurts The Most","Rascal Flatts",51,110
2008-05-24,2008,"Viva La Vida","Coldplay",51,127
1997-12-06,1997,"Truly Madly Deeply","Savage Garden",50,60
2003-08-23,2003,"Someday","Nickelback",50,95
2007-06-23,2007,"Paralyzer","Finger Eleven",50,98
2008-11-22,2008,"You Belong With Me","Taylor Swift",50,145
2012-03-10,2012,"Call Me Maybe","Carly Rae Jepsen",50,98
2014-09-06,2014,"Shake It Off","Taylor Swift",50,107
1995-03-25,1995,"Run-Around","Blues Traveler",49,208
2001-09-08,2001,"How You Remind Me","Nickelback",49,89
2006-10-14,2006,"Rockstar","Nickelback",49,216
2008-08-16,2008,"Just Dance","Lady GaGa Featuring Colby O'Donis",49,184
2008-09-27,2008,"Love Story","Taylor Swift",49,149
2011-07-09,2011,"Moves Like Jagger","Maroon 5 Featuring Christina Aguilera",49,122
2012-09-15,2012,"Thrift Shop","Macklemore & Ryan Lewis Featuring Wanz",49,274
1996-04-06,1996,"Counting Blue Cars","Dishwalla",48,90
1998-03-21,1998,"This Kiss","Faith Hill",48,102
2007-03-24,2007,"Teardrops On My Guitar","Taylor Swift",48,132
2007-05-05,2007,"Big Girls Don't Cry","Fergie",48,127
2010-08-07,2010,"Just The Way You Are","Bruno Mars",48,154
2012-04-21,2012,"Little Talks","Of Monsters And Men",48,131
2013-05-04,2013,"Blurred Lines","Robin Thicke Featuring T.I. & Pharrell",48,205
1995-12-16,1995,"Nobody Knows","The Tony Rich Project",47,131
2000-05-13,2000,"With Arms Wide Open","Creed",47,84
2007-04-21,2007,"Apologize","Timbaland Featuring One Republic",47,71
2007-06-02,2007,"Bubbly","Colbie Caillat",47,94
2010-06-19,2010,"Dynamite","Taio Cruz",47,90
2010-09-18,2010,"F**k You (Forget You)","Cee Lo Green",47,129
2012-06-23,2012,"It's Time","Imagine Dragons",47,93
2014-01-18,2014,"Happy","Pharrell Williams",47,87
2014-07-26,2014,"All About That Bass","Meghan Trainor",47,108
2015-02-07,2015,"Trap Queen","Fetty Wap",47,159
2000-05-13,2000,"I Hope You Dance","Lee Ann Womack With Sons Of The Desert",46,118
2001-04-14,2001,"It's Been Awhile","Staind",46,96
2004-08-28,2004,"Breakaway","Kelly Clarkson",46,121
2004-12-18,2004,"Since U Been Gone","Kelly Clarkson",46,82
2012-05-12,2012,"Wanted","Hunter Hayes",46,88
2014-05-24,2014,"Chandelier","Sia",46,89
1993-05-29,1993,"Whoomp! (There It Is)","Tag Team",45,200
1994-08-27,1994,"Another Night","Real McCoy",45,70
2001-11-10,2001,"Wherever You Will Go","The Calling",45,90
2002-11-23,2002,"When I'm Gone","3 Doors Down",45,88
2003-05-03,2003,"Get Low","Lil Jon & The East Side Boyz Featuring Ying Yang Twins",45,229
2006-06-03,2006,"Chasing Cars","Snow Patrol",45,91
2011-04-16,2011,"Give Me Everything","Pitbull Featuring Ne-Yo, AfroJack & Nayer",45,45
1990-08-25,1990,"Unchained Melody","The Righteous Brothers",44,45
1994-02-26,1994,"Come To My Window","Melissa Etheridge",44,84
1994-09-03,1994,"You Gotta Be","Des ree",44,108
1995-06-03,1995,"As I Lay Me Down","Sophie B. Hawkins",44,105
1997-08-23,1997,"You Make Me Wanna...","Usher",44,116
1997-12-20,1997,"Together Again","Janet",44,108
2000-01-01,2000,"I Wanna Know","Joe",44,113
2009-09-19,2009,"Haven't Met You Yet","Michael Buble",44,114
2012-01-21,2012,"I Won't Give Up","Jason Mraz",44,123
2012-04-07,2012,"Too Close","Alex Clare",44,80
2013-07-20,2013,"Royals","Lorde",44,125
2014-07-12,2014,"Riptide","Vance Joy",44,103
1996-07-20,1996,"Change The World (From ""Phenomenon"")","Eric Clapton",43,70
2003-04-05,2003,"Headstrong","Trapt",43,88
2004-02-14,2004,"This Love","Maroon5",43,109
2005-04-16,2005,"Beverly Hills","Weezer",43,106
2005-04-16,2005,"We Belong Together","Mariah Carey",43,161
2006-08-05,2006,"Face Down","The Red Jumpsuit Apparatus",43,109
2009-12-19,2009,"Breakeven","The Script",43,107
2011-03-12,2011,"Set Fire To The Rain","Adele",43,118
2013-05-18,2013,"Safe And Sound","Capital Cities",43,58
2013-08-17,2013,"Let Her Go","Passenger",43,81
2015-01-10,2015,"Earned It (Fifty Shades Of Grey)","The Weeknd",43,76
1994-05-28,1994,"Wild Night","John Mellencamp With Me Shell Ndegeocello",42,78
1996-03-16,1996,"C'mon N' Ride It (The Train)","Quad City DJ's",42,150
1999-05-01,1999,"Where My Girls At?","702",42,82
2002-11-09,2002,"Ignition","R. Kelly",42,155
2004-01-31,2004,"Yeah!","Usher Featuring Lil Jon & Ludacris",42,200
2005-07-02,2005,"Sugar, We're Goin' Down","Fall Out Boy",42,84
2005-12-10,2005,"Unwritten","Natasha Bedingfield",42,90
2006-02-25,2006,"Over My Head (Cable Car)","The Fray",42,121
2011-05-21,2011,"Just A Kiss","Lady Antebellum",42,99
2011-09-17,2011,"Sexy And I Know It","LMFAO",42,97
2011-12-24,2011,"We Are Young","Fun. Featuring Janelle Monae",42,117
2012-07-07,2012,"One More Night","Maroon 5",42,101
2013-03-02,2013,"Mirrors","Justin Timberlake",42,159
2013-05-11,2013,"Brave","Sara Bareilles",42,111
2015-01-31,2015,"Sugar","Maroon 5",42,109
1994-01-01,1994,"The Sign","Ace Of Base",41,79
1996-06-22,1996,"I Love You Always Forever","Donna Lewis",41,95
1996-10-26,1996,"Un-Break My Heart","Toni Braxton",41,73
2000-01-22,2000,"Everything You Want","Vertical Horizon",41,108
2001-07-28,2001,"Family Affair","Mary J. Blige",41,147
2002-03-02,2002,"A Thousand Miles","Vanessa Carlton",41,75
2003-09-20,2003,"White Flag","Dido",41,94
2004-07-24,2004,"She Will Be Loved","Maroon5",41,120
2005-06-25,2005,"Feel Good Inc","Gorillaz",41,140
2007-11-17,2007,"Love Song","Sara Bareilles",41,128
2008-12-13,2008,"Second Chance","Shinedown",41,87
2011-10-08,2011,"We Found Love","Rihanna Featuring Calvin Harris",41,59
2014-05-10,2014,"Rude","MAGIC!",41,111
2014-08-30,2014,"Take Me To Church","Hozier",41,151
2015-03-21,2015,"Watch Me","Silento",41,46
1993-01-09,1993,"Dazzey Duks","Duice",40,195
1995-11-11,1995,"I Will Remember You (Live)","Sarah McLachlan",40,87
1996-02-10,1996,"Insensitive (From ""Bed Of Roses"")","Jann Arden",40,99
1996-06-15,1996,"This Is Your Night","Amber",40,84
1997-02-22,1997,"The Freshmen","The Verve Pipe",40,103
1999-09-11,1999,"I Need To Know","Marc Anthony",40,72
2004-03-06,2004,"If I Ain't Got You","Alicia Keys",40,87
2005-05-07,2005,"Don't Cha","The Pussycat Dolls Featuring Busta Rhymes",40,90
2006-07-29,2006,"Waiting On The World To Change","John Mayer",40,101
2006-12-30,2006,"The Sweet Escape","Gwen Stefani Featuring Akon",40,127
2007-11-10,2007,"Low","Flo Rida Featuring T-Pain",40,203
2009-01-03,2009,"Poker Face","Lady GaGa",40,120
2009-07-18,2009,"Down","Jay Sean Featuring Lil Wayne",40,119
2011-05-14,2011,"Pumped Up Kicks","Foster The People",40,97
2012-06-09,2012,"Home","Phillip Phillips",40,57
2015-03-28,2015,"See You Again","Wiz Khalifa Featuring Charlie Puth",40,143
1992-08-15,1992,"Rhythm Is A Dancer","Snap",39,83
1995-05-13,1995,"December","Collective Soul",39,64
1996-04-06,1996,"Give Me One Reason","Tracy Chapman",39,79
1996-07-06,1996,"Where Do You Go","No Mercy",39,91
1997-06-28,1997,"Quit Playing Games (With My Heart)","Backstreet Boys",39,87
1997-07-05,1997,"Semi-Charmed Life","Third Eye Blind",39,205
2000-04-29,2000,"Bent","matchbox twenty",39,113
2001-01-13,2001,"Thank You","Dido",39,100
2001-02-17,2001,"Drive","Incubus",39,79
2001-06-02,2001,"I Do!!","Toya",39,155
2003-09-27,2003,"The Way You Move","OutKast Featuring Sleepy Brown",39,201
2004-01-03,2004,"Freek-A-Leek","Petey Pablo",39,211
2004-10-30,2004,"1, 2 Step","Ciara Featuring Missy Elliott",39,147
2005-07-30,2005,"Gold Digger","Kanye West Featuring Jamie Foxx",39,243
2005-08-06,2005,"Dirty Little Secret","The All-American Rejects",39,83
2006-02-11,2006,"Move Along","The All-American Rejects",39,77
2007-09-22,2007,"No One","Alicia Keys",39,79
