"year","baby","boy","burn","girl","happy","love","sad","truck","why"
"1990","9651","1258","69","4337","202","16495","287","0","1904"
"1991","8332","986","112","2868","412","17616","208","6","2323"
"1992","11346","826","226","3880","341","14557","191","62","2735"
"1993","10577","1258","91","4658","442","14524","299","43","2423"
"1994","7881","1212","110","3363","437","13368","227","48","2324"
"1995","8610","1426","155","4015","751","15576","119","105","2561"
"1996","9150","1295","232","3266","647","11818","377","53","2489"
"1997","9866","1124","118","2745","646","13804","371","87","2412"
"1998","10417","1442","293","3423","320","13421","238","100","1939"
"1999","7844","1309","198","3318","332","11422","208","54","1757"
"2000","11174","1069","396","5905","404","10733","359","653","2912"
"2001","9465","1275","351","4677","359","10023","89","154","4029"
"2002","11346","4110","240","6902","363","11397","140","300","2624"
"2003","8999","2849","234","7010","608","14183","167","208","3304"
"2004","9060","2714","589","8178","550","12122","88","199","4050"
"2005","9205","1491","159","9849","445","10161","119","122","2596"
"2006","7889","2407","293","7513","271","8894","375","154","3237"
"2007","6999","5562","228","6555","235","11054","91","208","4679"
"2008","7801","3657","312","7678","262","11014","235","225","2573"
"2009","8254","1983","397","9430","229","12061","194","145","3180"
"2010","12837","2837","369","7219","266","15295","120","344","2427"
"2011","10145","2263","257","8813","388","11357","130","396","2302"
"2012","10662","1459","1002","6879","254","13135","116","623","2145"
"2013","7990","1681","1723","6402","265","16148","22","415","2564"
"2014","8717","1259","1950","6607","1924","12001","115","566","2814"
"2015","10456","1452","256","6195","270","13066","126","352","2272"
