12059	We Will Rock You/We Are The Champions	Queen	277241	5C1N0wFUhhj5FgGKmfVdxy
12696	I Need You	Euclid Beach Band	null	null
13711	Endless Love	Diana Ross & Lionel Richie	null	6QxgfimsVDPepssZtFrseb
16221	Can t We Try	Dan Hill (Duet With Vonda Shepard)	null	null
16365	Can't We Try	Dan Hill (Duet With Vonda Shepard)	null	null
17157	Rock Wit cha	Bobby Brown	294398	7BVMXNnQSswMX8IJeZUb5T
17174	Talk To Myself	Christopher Williams	299280	null
17176	Me So Horny	The 2 Live Crew	431856	0iZe1e14Xrm3DN1sHW8kZO
17181	Didn t I (Blow Your Mind)	New Kids On The Block	312175	null
17186	Back To Life	Soul II Soul	279919	5cLsk5E7Au4hkTvCQFWHMJ
17189	Don t Make Me Over	Sybil	281298	2QXeYzNsXgtI4YLeyr42aj
17210	Girl I Am Searching For You	Stevie B	280706	4VG6a2JFWsX3CMHunLf4nO
17219	If You Leave Me Now	Jaya	304306	null
17223	The Arms Of Orion	Prince (With Sheena Easton)	351039	null
17255	I ll Be Good To You	Quincy Jones Featuring Ray Charles	277260	4cLXNwNqXWT1CTR5Gyr7ei
17256	No More Lies	Michel le	310953	1Oz5bcZyzhiaEa3F06EiPY
17262	Wait For You	Bonham	296300	0LdPlZKpROaZMLkR0CBpz2
17271	What Kind Of Man Would I Be?	Chicago	299102	3oCUfoqrkQiapnJk7UL8IE
17273	Serious Kinda Girl	Christopher Max	299272	null
17274	Tell Me Why	Expose	302003	0LuJHeLpbTw1dcXVYgBPyS
17277	I Don t Know	Michael Morales	310827	null
17284	Here We Are	Gloria Estefan	302943	0aoSryshWn2ZRvP5b2xvMc
17286	I Will Survive (From "She-Devil")	SaFire	277419	null
17287	Foolish Heart	Sharon Bryant	278947	7JR5s8DtDZxhVHAqawvo20
17288	C Mon And Get My Love	D-Mob With Cathy Dennis	null	null
17289	Never 2 Much Of U	Dino	300959	null
17291	Here And Now	Luther Vandross	308632	3FjTPS2GIgZOBMRNQCVRMG
17293	Too Hot	Loverboy	308391	6GZDKqCZaEbLooHGozNALp
17294	Right And Hype	Abstrac	277919	null
17302	All Nite	Entouch Featuring Keith Sweat	301780	6q989QMsV87X9Em9J6DONi
17303	Timeless Love (From "Shocker")	Saraya	278233	null
17317	Get Up! (Before The Night Is Over)	Technotronic	371857	2MOOJh1xUgND4rLjB6h4jY
17318	If U Were Mine	The U-Krew	419331	null
17325	Forever	Kiss	305964	null
17329	You re The Only Woman	The Brat Pack	297083	null
17338	I ll Be There	Joyce "Fenderella" Irby	305303	null
17341	Got To Get	Leila K With Rob  N  Raz	null	3Atr2OBXJVIpQ96zxuActC
17346	Heartbeat	Seduction	278574	3PFFwk0K0TrFmBC9ZEZaeg
17378	You Can t Get Away	Shana	278885	null
17385	How  Bout Us (From "True Love")	Grayson Hugh	303099	null
17391	Save Me	Fleetwood Mac	302218	78ws3lDbo8p61ycvvg0f1T
17394	Always And Forever	Whistle	431306	4c8YJShoSaDCIOMgp36BM6
17396	You Make Me Feel (Mighty Real)	Jimmy Somerville	304720	3z0g89pm8UEHZtw2J4IjMt
17401	Ooh La La (I Can t Get Over You)	Perfect Gentlemen	328514	null
17406	Nicety	Michel le	310953	1vw9MuorZMUxhsQBGsgyo1
17409	Turtle Power	Partners In Kryme	326152	3dFAXD9FtN2gmoZToyoJl2
17412	U Can t Touch This	M.C. Hammer	276852	1B75hgRqe7A4fwee3g3Wmu
17413	Do You Remember?	Phil Collins	332348	3U1KpX2tBUYDSfNEulybcN
17415	Notice Me	Nikki	1529865	null
17417	That s The Way Of The World	D-Mob With Cathy Dennis	null	null
17420	This	Michael Penn	310852	1M1tkdT27qDK1J7zs97aOG
17423	Sittin  In The Lap Of Luxury	Louie Louie	308284	null
17429	"B" Girls	Young And Restless	431661	7AiGl9XO87W4FyqLKiZerB
17430	Love Is	Alannah Myles	278331	3IYb8pVjQG77awbkC4CuBV
17431	Blues Before And After	The Smithereens	419137	3DQ8ApiouUOkUbzCmyXwgW
17441	She Ain t Worth It	Glenn Medeiros Featuring Bobby Brown	302931	null
17445	Got To Tell Me Something	Ana	278983	null
17452	Tomorrow (A Better You, Better Me)	Quincy Jones With Tevin Campbell	null	4jYuAdVCOMkEQJWV2qvlj6
17454	Don t Go Away Mad (Just Go Away)	Motley Crue	312021	null
17458	Now You re Gone	Whitesnake	431326	null
17460	Could This Be Love	Seduction	278574	3vlhjgeKW3u1Fjzf6JiJvo
17461	Rise To It	Kiss	305964	null
17463	Let Me Be Your Lover	The U-Krew	419331	null
17467	The Right Combination	Seiko	278601	null
17468	Don t You Love Me	49-ers	431955	null
17469	Follow My Heartbeat	A me Lorain	275211	null
17475	The Other Side	Aerosmith	278098	74pHYWfOGQ1VYq1VATtQTg
17481	Have You Seen Her	M.C. Hammer	276852	2lvk6CUSHz4j8huQ25gH54
17482	Jerk Out	The Time	419293	2QzLYgjE7zTj1lb6Wi1aPx
17487	Tic-Tac-Toe	Kyper	306244	null
17492	All I Do Is Think Of You	Troop	430486	0sCppFyj7iX9CY3Halgbes
17495	Stranger To Love	St. Paul	280258	1WVHjwcIIulU9Zg1XncdO7
17496	How Bad Do You Want It?	Don Henley	301124	6KIbBxMKqXxZeK8wOtRFiX
17500	All Lips N  Hips	Electric Boys	301588	null
17504	Hungry	Lita Ford	307562	6XYQYOkYSx0efQDjarg6CW
17508	All The Way	Calloway	275850	null
17509	Summer Vacation	The Party	1540606	null
17511	Slow Love	Doc Box	null	null
17512	What Will I Do	Timmy T	429976	null
17513	Can t Stop	After 7	278131	1TYt5etb427hvOod3EKJA5
17514	Tell Me Something	Indecent Obsession	303774	null
17517	Tonight	New Kids On The Block	312175	2QqbBVwpyJn7SL7thga35w
17526	That s Not Her Style	Billy Joel	284376	null
17528	Policy Of Truth	Depeche Mode	300787	0C6EIiQu8CS4eYtOCMEiAd
17529	I Won t Give Up On You	TKA	277501	null
17531	How Much Love	Vixen	431037	4CSFgPEx1PDP3PHDatvxsz
17532	Only Women Bleed	Favorite Angel	302042	null
17534	All I m Missing Is You	Glenn Medeiros Featuring Ray Parker, Jr.	302931	7yahyqRgGzbpfh3UIHw8xc
17536	I Wanna Get Back With You	Louie Louie	308284	null
17541	Crazy	The Boys	388106	7oKhLs0hmEHN6jE6hBPTqH
17545	Empty Beach	Tricia Leigh Fisher	430431	null
17552	Dream Boy/Dream Girl	Cynthia	299879	null
17553	Undeniable	Ms. Adventures	311913	null
17556	Ice Ice Baby	Vanilla Ice	277734	11d9oUiwHuYt216EFA2tiz
17570	I Don t Love You Anymore	The London Quireboys	null	null
17573	Pray	M.C. Hammer	276852	0l7CcMTq1k965KZPaAtsmR
17576	On The Way Up	Elisa Fiorillo	301630	0QZ4mdMntgZLBwhMrujznY
17581	Because I Love You (The Postman Song)	Stevie B	280706	7KVrjDjOJiIHwGagvIt3cA
17583	Tom s Diner	DNA Featuring Suzanne Vega	1488428	7rQtCINCHFjFgLscYheSMq
