"","date","taylor","kenny","tim","mariah","keith"
"1","31/12/89",0,0,0,0,0
"53","29/12/90",0,0,0,38,0
"105","28/12/91",0,0,0,111,0
"157","26/12/92",0,0,0,166,0
"209","25/12/93",0,0,0,197,0
"261","24/12/94",0,0,40,269,0
"313","23/12/95",0,0,58,282,0
"365","21/12/96",0,0,65,326,0
"417","3/1/98",0,0,65,342,0
"469","16/1/99",0,7,86,363,0
"521","15/1/00",0,57,142,384,0
"573","13/1/01",0,90,182,384,20
"625","12/1/02",0,117,230,387,56
"677","11/1/03",0,164,283,390,76
"729","10/1/04",0,222,334,396,115
"781","8/1/05",0,265,381,396,161
"833","7/1/06",0,313,417,491,215
"885","6/1/07",16,370,459,506,252
"937","5/1/08",62,426,497,506,297
"989","3/1/09",180,482,517,546,327
"1041","2/1/10",302,503,544,573,381
"1093","1/1/11",394,541,561,574,424
"1145","31/12/11",467,573,575,574,470
"1197","29/12/12",544,616,613,576,504
"1249","28/12/13",624,644,650,579,524
"1301","27/12/14",656,671,665,583,558
"1353","26/12/15",789,695,683,587,582
